ID,OKRES_OBEC,KOD_PRACOVISTE,KRAJ_NAZEV
0,Praha-Praha,101,Hlavní město Praha
1,Benešov-Vysoký Újezd,201,Středočeský kraj
2,Benešov-Benešov,201,Středočeský kraj
3,Benešov-Bystřice,201,Středočeský kraj
4,Benešov-Čakov,201,Středočeský kraj
5,Benešov-Čechtice,201,Středočeský kraj
6,Benešov-Čerčany,201,Středočeský kraj
7,Benešov-Červený Újezd,201,Středočeský kraj
8,Benešov-Český Šternberk,201,Středočeský kraj
9,Benešov-Čtyřkoly,201,Středočeský kraj
10,Benešov-Divišov,201,Středočeský kraj
11,Benešov-Dolní Kralovice,201,Středočeský kraj
12,Benešov-Heřmaničky,201,Středočeský kraj
13,Benešov-Hulice,201,Středočeský kraj
14,Benešov-Hvězdonice,201,Středočeský kraj
15,Benešov-Chlum,201,Středočeský kraj
16,Benešov-Chmelná,201,Středočeský kraj
17,Benešov-Chocerady,201,Středočeský kraj
18,Benešov-Chotýšany,201,Středočeský kraj
19,Benešov-Jankov,201,Středočeský kraj
20,Benešov-Javorník,201,Středočeský kraj
21,Benešov-Keblov,201,Středočeský kraj
22,Benešov-Kondrac,201,Středočeský kraj
23,Benešov-Kozmice,201,Středočeský kraj
24,Benešov-Krhanice,201,Středočeský kraj
25,Benešov-Krňany,201,Středočeský kraj
26,Benešov-Křečovice,201,Středočeský kraj
27,Benešov-Křivsoudov,201,Středočeský kraj
28,Benešov-Kuňovice,201,Středočeský kraj
29,Benešov-Lešany,201,Středočeský kraj
30,Benešov-Libež,201,Středočeský kraj
31,Benešov-Loket,201,Středočeský kraj
32,Benešov-Louňovice pod Blaníkem,201,Středočeský kraj
33,Benešov-Maršovice,201,Středočeský kraj
34,Benešov-Mezno,201,Středočeský kraj
35,Benešov-Miličín,201,Středočeský kraj
36,Benešov-Miřetice,201,Středočeský kraj
37,Benešov-Mnichovice,201,Středočeský kraj
38,Benešov-Mrač,201,Středočeský kraj
39,Benešov-Načeradec,201,Středočeský kraj
40,Benešov-Nespeky,201,Středočeský kraj
41,Benešov-Netvořice,201,Středočeský kraj
42,Benešov-Neustupov,201,Středočeský kraj
43,Benešov-Neveklov,201,Středočeský kraj
44,Benešov-Olbramovice,201,Středočeský kraj
45,Benešov-Ostředek,201,Středočeský kraj
46,Benešov-Petroupim,201,Středočeský kraj
47,Benešov-Poříčí nad Sázavou,201,Středočeský kraj
48,Benešov-Postupice,201,Středočeský kraj
49,Benešov-Pravonín,201,Středočeský kraj
50,Benešov-Přestavlky u Čerčan,201,Středočeský kraj
51,Benešov-Psáře,201,Středočeský kraj
52,Benešov-Rabyně,201,Středočeský kraj
53,Benešov-Radošovice,201,Středočeský kraj
54,Benešov-Rataje,201,Středočeský kraj
55,Benešov-Smilkov,201,Středočeský kraj
56,Benešov-Soběhrdy,201,Středočeský kraj
57,Benešov-Struhařov,201,Středočeský kraj
58,Benešov-Střezimíř,201,Středočeský kraj
59,Benešov-Studený,201,Středočeský kraj
60,Benešov-Bílkovice,201,Středočeský kraj
61,Benešov-Tehov,201,Středočeský kraj
62,Benešov-Teplýšovice,201,Středočeský kraj
63,Benešov-Tichonice,201,Středočeský kraj
64,Benešov-Trhový Štěpánov,201,Středočeský kraj
65,Benešov-Týnec nad Sázavou,201,Středočeský kraj
66,Benešov-Veliš,201,Středočeský kraj
67,Benešov-Vlašim,201,Středočeský kraj
68,Benešov-Vojkov,201,Středočeský kraj
69,Benešov-Votice,201,Středočeský kraj
70,Benešov-Vracovice,201,Středočeský kraj
71,Benešov-Vranov,201,Středočeský kraj
72,Benešov-Vrchotovy Janovice,201,Středočeský kraj
73,Benešov-Zdislavice,201,Středočeský kraj
74,Benešov-Kamberk,201,Středočeský kraj
75,Benešov-Zvěstov,201,Středočeský kraj
76,Benešov-Chrášťany,201,Středočeský kraj
77,Benešov-Chlístov,201,Středočeský kraj
78,Benešov-Václavice,201,Středočeský kraj
79,Benešov-Borovnice,201,Středočeský kraj
80,Benešov-Ješetice,201,Středočeský kraj
81,Benešov-Drahňovice,201,Středočeský kraj
82,Benešov-Lštění,201,Středočeský kraj
83,Benešov-Slověnice,201,Středočeský kraj
84,Benešov-Litichovice,201,Středočeský kraj
85,Benešov-Všechlapy,201,Středočeský kraj
86,Benešov-Třebešice,201,Středočeský kraj
87,Benešov-Blažejovice,201,Středočeský kraj
88,Benešov-Snět,201,Středočeský kraj
89,Benešov-Šetějovice,201,Středočeský kraj
90,Benešov-Tomice,201,Středočeský kraj
91,Benešov-Ratměřice,201,Středočeský kraj
92,Benešov-Bernartice,201,Středočeský kraj
93,Benešov-Tisem,201,Středočeský kraj
94,Benešov-Choratice,201,Středočeský kraj
95,Benešov-Vodslivy,201,Středočeský kraj
96,Benešov-Popovice,201,Středočeský kraj
97,Benešov-Ctiboř,201,Středočeský kraj
98,Benešov-Děkanovice,201,Středočeský kraj
99,Benešov-Dunice,201,Středočeský kraj
100,Benešov-Chleby,201,Středočeský kraj
101,Benešov-Chářovice,201,Středočeský kraj
102,Benešov-Bukovany,201,Středočeský kraj
103,Benešov-Hradiště,201,Středočeský kraj
104,Benešov-Řimovice,201,Středočeský kraj
105,Benešov-Pavlovice,201,Středočeský kraj
106,Benešov-Kladruby,201,Středočeský kraj
107,Benešov-Sázava,201,Středočeský kraj
108,Benešov-Pyšely,201,Středočeský kraj
109,Benešov-Řehenice,201,Středočeský kraj
110,Benešov-Xaverov,201,Středočeský kraj
111,Benešov-Strojetice,201,Středočeský kraj
112,Benešov-Stranný,201,Středočeský kraj
113,Benešov-Soutice,201,Středočeský kraj
114,Benešov-Ostrov,201,Středočeský kraj
115,Beroun-Beroun,202,Středočeský kraj
116,Beroun-Běštín,202,Středočeský kraj
117,Beroun-Broumy,202,Středočeský kraj
118,Beroun-Březová,202,Středočeský kraj
119,Beroun-Bubovice,202,Středočeský kraj
120,Beroun-Bzová,202,Středočeský kraj
121,Beroun-Cerhovice,202,Středočeský kraj
122,Beroun-Drozdov,202,Středočeský kraj
123,Beroun-Felbabka,202,Středočeský kraj
124,Beroun-Hlásná Třebaň,202,Středočeský kraj
125,Beroun-Hořovice,202,Středočeský kraj
126,Beroun-Hostomice,202,Středočeský kraj
127,Beroun-Hředle,202,Středočeský kraj
128,Beroun-Hudlice,202,Středočeský kraj
129,Beroun-Hvozdec,202,Středočeský kraj
130,Beroun-Hýskov,202,Středočeský kraj
131,Beroun-Chaloupky,202,Středočeský kraj
132,Beroun-Chyňava,202,Středočeský kraj
133,Beroun-Jivina,202,Středočeský kraj
134,Beroun-Karlštejn,202,Středočeský kraj
135,Beroun-Komárov,202,Středočeský kraj
136,Beroun-Koněprusy,202,Středočeský kraj
137,Beroun-Kublov,202,Středočeský kraj
138,Beroun-Libomyšl,202,Středočeský kraj
139,Beroun-Liteň,202,Středočeský kraj
140,Beroun-Loděnice,202,Středočeský kraj
141,Beroun-Lochovice,202,Středočeský kraj
142,Beroun-Měňany,202,Středočeský kraj
143,Beroun-Mezouň,202,Středočeský kraj
144,Beroun-Mořina,202,Středočeský kraj
145,Beroun-Neumětely,202,Středočeský kraj
146,Beroun-Nižbor,202,Středočeský kraj
147,Beroun-Nový Jáchymov,202,Středočeský kraj
148,Beroun-Olešná,202,Středočeský kraj
149,Beroun-Osek,202,Středočeský kraj
150,Beroun-Osov,202,Středočeský kraj
151,Beroun-Otročiněves,202,Středočeský kraj
152,Beroun-Podluhy,202,Středočeský kraj
153,Beroun-Praskolesy,202,Středočeský kraj
154,Beroun-Rpety,202,Středočeský kraj
155,Beroun-Skuhrov,202,Středočeský kraj
156,Beroun-Srbsko,202,Středočeský kraj
157,Beroun-Stašov,202,Středočeský kraj
158,Beroun-Suchomasty,202,Středočeský kraj
159,Beroun-Svatá,202,Středočeský kraj
160,Beroun-Svatý Jan pod Skalou,202,Středočeský kraj
161,Beroun-Svinaře,202,Středočeský kraj
162,Beroun-Tetín,202,Středočeský kraj
163,Beroun-Tlustice,202,Středočeský kraj
164,Beroun-Tmaň,202,Středočeský kraj
165,Beroun-Trubská,202,Středočeský kraj
166,Beroun-Újezd,202,Středočeský kraj
167,Beroun-Velký Chlumec,202,Středočeský kraj
168,Beroun-Vráž,202,Středočeský kraj
169,Beroun-Všeradice,202,Středočeský kraj
170,Beroun-Vysoký Újezd,202,Středočeský kraj
171,Beroun-Zadní Třebaň,202,Středočeský kraj
172,Beroun-Zaječov,202,Středočeský kraj
173,Beroun-Záluží,202,Středočeský kraj
174,Beroun-Zdice,202,Středočeský kraj
175,Beroun-Žebrák,202,Středočeský kraj
176,Beroun-Trubín,202,Středočeský kraj
177,Beroun-Králův Dvůr,202,Středočeský kraj
178,Beroun-Malá Víska,202,Středočeský kraj
179,Beroun-Lhotka,202,Středočeský kraj
180,Beroun-Nenačovice,202,Středočeský kraj
181,Beroun-Chrustenice,202,Středočeský kraj
182,Beroun-Korno,202,Středočeský kraj
183,Beroun-Mořinka,202,Středočeský kraj
184,Beroun-Lážovice,202,Středočeský kraj
185,Beroun-Skřipel,202,Středočeský kraj
186,Beroun-Vižina,202,Středočeský kraj
187,Beroun-Kotopeky,202,Středočeský kraj
188,Beroun-Otmíče,202,Středočeský kraj
189,Beroun-Bykoš,202,Středočeský kraj
190,Beroun-Málkov,202,Středočeský kraj
191,Beroun-Vinařice,202,Středočeský kraj
192,Beroun-Nesvačily,202,Středočeský kraj
193,Beroun-Podbrdy,202,Středočeský kraj
194,Beroun-Lužce,202,Středočeský kraj
195,Beroun-Bavoryně,202,Středočeský kraj
196,Beroun-Chodouň,202,Středočeský kraj
197,Beroun-Chlustina,202,Středočeský kraj
198,Beroun-Točník,202,Středočeský kraj
199,Beroun-Železná,202,Středočeský kraj
200,Kladno-Drnek,231,Středočeský kraj
201,Kladno-Kamenný Most,231,Středočeský kraj
202,Kladno-Lhota,203,Středočeský kraj
203,Kladno-Hobšovice,231,Středočeský kraj
204,Kladno-Malé Přítočno,203,Středočeský kraj
205,Kladno-Dolany,203,Středočeský kraj
206,Kladno-Kladno,203,Středočeský kraj
207,Kladno-Běloky,203,Středočeský kraj
208,Kladno-Beřovice,231,Středočeský kraj
209,Kladno-Blevice,203,Středočeský kraj
210,Kladno-Brandýsek,203,Středočeský kraj
211,Kladno-Braškov,203,Středočeský kraj
212,Kladno-Bratronice,203,Středočeský kraj
213,Kladno-Buštěhrad,203,Středočeský kraj
214,Kladno-Tuřany,231,Středočeský kraj
215,Kladno-Cvrčovice,203,Středočeský kraj
216,Kladno-Černuc,231,Středočeský kraj
217,Kladno-Doksy,203,Středočeský kraj
218,Kladno-Družec,203,Středočeský kraj
219,Kladno-Dřetovice,203,Středočeský kraj
220,Kladno-Dřínov,231,Středočeský kraj
221,Kladno-Horní Bezděkov,203,Středočeský kraj
222,Kladno-Hořešovice,231,Středočeský kraj
223,Kladno-Hospozín,231,Středočeský kraj
224,Kladno-Hostouň,203,Středočeský kraj
225,Kladno-Hradečno,203,Středočeský kraj
226,Kladno-Hrdlív,231,Středočeský kraj
227,Kladno-Hřebeč,203,Středočeský kraj
228,Kladno-Chržín,231,Středočeský kraj
229,Kladno-Jarpice,231,Středočeský kraj
230,Kladno-Jedomělice,231,Středočeský kraj
231,Kladno-Jemníky,231,Středočeský kraj
232,Kladno-Kačice,203,Středočeský kraj
233,Kladno-Kamenné Žehrovice,203,Středočeský kraj
234,Kladno-Klobuky,231,Středočeský kraj
235,Kladno-Kmetiněves,231,Středočeský kraj
236,Kladno-Knovíz,231,Středočeský kraj
237,Kladno-Koleč,203,Středočeský kraj
238,Kladno-Kvílice,231,Středočeský kraj
239,Kladno-Kyšice,203,Středočeský kraj
240,Kladno-Ledce,231,Středočeský kraj
241,Kladno-Libušín,203,Středočeský kraj
242,Kladno-Lidice,203,Středočeský kraj
243,Kladno-Makotřasy,203,Středočeský kraj
244,Kladno-Malé Kyšice,203,Středočeský kraj
245,Kladno-Malíkovice,231,Středočeský kraj
246,Kladno-Neuměřice,231,Středočeský kraj
247,Kladno-Otvovice,203,Středočeský kraj
248,Kladno-Pavlov,203,Středočeský kraj
249,Kladno-Pchery,203,Středočeský kraj
250,Kladno-Pletený Újezd,203,Středočeský kraj
251,Kladno-Podlešín,231,Středočeský kraj
252,Kladno-Pozdeň,231,Středočeský kraj
253,Kladno-Přelíc,231,Středočeský kraj
254,Kladno-Řisuty,231,Středočeský kraj
255,Kladno-Sazená,231,Středočeský kraj
256,Kladno-Slaný,231,Středočeský kraj
257,Kladno-Slatina,203,Středočeský kraj
258,Kladno-Smečno,231,Středočeský kraj
259,Kladno-Stehelčeves,203,Středočeský kraj
260,Kladno-Stochov,203,Středočeský kraj
261,Kladno-Svinařov,203,Středočeský kraj
262,Kladno-Šlapanice,231,Středočeský kraj
263,Kladno-Třebichovice,203,Středočeský kraj
264,Kladno-Třebíz,231,Středočeský kraj
265,Kladno-Třebusice,203,Středočeský kraj
266,Kladno-Tuchlovice,203,Středočeský kraj
267,Kladno-Uhy,231,Středočeský kraj
268,Kladno-Unhošť,203,Středočeský kraj
269,Kladno-Velká Dobrá,203,Středočeský kraj
270,Kladno-Velké Přítočno,203,Středočeský kraj
271,Kladno-Velvary,231,Středočeský kraj
272,Kladno-Vinařice,203,Středočeský kraj
273,Kladno-Vraný,231,Středočeský kraj
274,Kladno-Zákolany,203,Středočeský kraj
275,Kladno-Zlonice,231,Středočeský kraj
276,Kladno-Zvoleněves,231,Středočeský kraj
277,Kladno-Žilina,203,Středočeský kraj
278,Kladno-Žižice,231,Středočeský kraj
279,Kladno-Běleč,203,Středočeský kraj
280,Kladno-Loucká,231,Středočeský kraj
281,Kladno-Královice,231,Středočeský kraj
282,Kladno-Bílichov,231,Středočeský kraj
283,Kladno-Hořešovičky,231,Středočeský kraj
284,Kladno-Lány,203,Středočeský kraj
285,Kladno-Studeněves,231,Středočeský kraj
286,Kladno-Poštovice,231,Středočeský kraj
287,Kladno-Plchov,231,Středočeský kraj
288,Kladno-Libochovičky,203,Středočeský kraj
289,Kladno-Páleč,231,Středočeský kraj
290,Kladno-Zichovec,231,Středočeský kraj
291,Kladno-Vrbičany,231,Středočeský kraj
292,Kladno-Kutrovice,231,Středočeský kraj
293,Kladno-Neprobylice,231,Středočeský kraj
294,Kladno-Líský,231,Středočeský kraj
295,Kladno-Zájezd,203,Středočeský kraj
296,Kladno-Libovice,231,Středočeský kraj
297,Kladno-Želenice,231,Středočeský kraj
298,Kladno-Svárov,203,Středočeský kraj
299,Kladno-Stradonice,231,Středočeský kraj
300,Kolín-Polní Voděrady,204,Středočeský kraj
301,Kolín-Ždánice,204,Středočeský kraj
302,Kolín-Dománovice,204,Středočeský kraj
303,Kolín-Zalešany,204,Středočeský kraj
304,Kolín-Polní Chrčice,204,Středočeský kraj
305,Kolín-Žabonosy,204,Středočeský kraj
306,Kolín-Lipec,204,Středočeský kraj
307,Kolín-Mrzky,204,Středočeský kraj
308,Kolín-Přehvozdí,204,Středočeský kraj
309,Kolín-Přistoupim,204,Středočeský kraj
310,Kolín-Kbel,204,Středočeský kraj
311,Kolín-Pašinka,204,Středočeský kraj
312,Kolín-Kolín,204,Středočeský kraj
313,Kolín-Barchovice,204,Středočeský kraj
314,Kolín-Bečváry,204,Středočeský kraj
315,Kolín-Bělušice,204,Středočeský kraj
316,Kolín-Břežany I,204,Středočeský kraj
317,Kolín-Břežany II,204,Středočeský kraj
318,Kolín-Býchory,204,Středočeský kraj
319,Kolín-Cerhenice,204,Středočeský kraj
320,Kolín-Červené Pečky,204,Středočeský kraj
321,Kolín-Český Brod,204,Středočeský kraj
322,Kolín-Dobřichov,204,Středočeský kraj
323,Kolín-Dolní Chvatliny,204,Středočeský kraj
324,Kolín-Doubravčice,204,Středočeský kraj
325,Kolín-Horní Kruty,204,Středočeský kraj
326,Kolín-Chotutice,204,Středočeský kraj
327,Kolín-Chrášťany,204,Středočeský kraj
328,Kolín-Jestřabí Lhota,204,Středočeský kraj
329,Kolín-Klučov,204,Středočeský kraj
330,Kolín-Konárovice,204,Středočeský kraj
331,Kolín-Kořenice,204,Středočeský kraj
332,Kolín-Kouřim,204,Středočeský kraj
333,Kolín-Krakovany,204,Středočeský kraj
334,Kolín-Krupá,204,Středočeský kraj
335,Kolín-Křečhoř,204,Středočeský kraj
336,Kolín-Libenice,204,Středočeský kraj
337,Kolín-Libodřice,204,Středočeský kraj
338,Kolín-Lošany,204,Středočeský kraj
339,Kolín-Malotice,204,Středočeský kraj
340,Kolín-Nebovidy,204,Středočeský kraj
341,Kolín-Nová Ves I,204,Středočeský kraj
342,Kolín-Ohaře,204,Středočeský kraj
343,Kolín-Ovčáry,204,Středočeský kraj
344,Kolín-Plaňany,204,Středočeský kraj
345,Kolín-Polepy,204,Středočeský kraj
346,Kolín-Přišimasy,204,Středočeský kraj
347,Kolín-Radim,204,Středočeský kraj
348,Kolín-Radovesnice I,204,Středočeský kraj
349,Kolín-Radovesnice II,204,Středočeský kraj
350,Kolín-Ratboř,204,Středočeský kraj
351,Kolín-Rostoklaty,204,Středočeský kraj
352,Kolín-Skvrňov,204,Středočeský kraj
353,Kolín-Starý Kolín,204,Středočeský kraj
354,Kolín-Svojšice,204,Středočeský kraj
355,Kolín-Tismice,204,Středočeský kraj
356,Kolín-Toušice,204,Středočeský kraj
357,Kolín-Třebovle,204,Středočeský kraj
358,Kolín-Tři Dvory,204,Středočeský kraj
359,Kolín-Tuchoraz,204,Středočeský kraj
360,Kolín-Tuklaty,204,Středočeský kraj
361,Kolín-Týnec nad Labem,204,Středočeský kraj
362,Kolín-Uhlířská Lhota,204,Středočeský kraj
363,Kolín-Veletov,204,Středočeský kraj
364,Kolín-Velim,204,Středočeský kraj
365,Kolín-Velký Osek,204,Středočeský kraj
366,Kolín-Veltruby,204,Středočeský kraj
367,Kolín-Vitice,204,Středočeský kraj
368,Kolín-Volárna,204,Středočeský kraj
369,Kolín-Vrbčany,204,Středočeský kraj
370,Kolín-Zásmuky,204,Středočeský kraj
371,Kolín-Žiželice,204,Středočeský kraj
372,Kolín-Choťovice,204,Středočeský kraj
373,Kolín-Pečky,204,Středočeský kraj
374,Kolín-Pňov-Předhradí,204,Středočeský kraj
375,Kolín-Poříčany,204,Středočeský kraj
376,Kolín-Ratenice,204,Středočeský kraj
377,Kolín-Tatce,204,Středočeský kraj
378,Kolín-Žehuň,204,Středočeský kraj
379,Kolín-Drahobudice,204,Středočeský kraj
380,Kolín-Masojedy,204,Středočeský kraj
381,Kolín-Hradešín,204,Středočeský kraj
382,Kolín-Vrátkov,204,Středočeský kraj
383,Kolín-Němčice,204,Středočeský kraj
384,Kolín-Klášterní Skalice,204,Středočeský kraj
385,Kolín-Kšely,204,Středočeský kraj
386,Kolín-Černíky,208,Středočeský kraj
387,Kolín-Grunta,204,Středočeský kraj
388,Kolín-Církvice,204,Středočeský kraj
389,Kolín-Krychnov,204,Středočeský kraj
390,Kutná Hora-Rohozec,205,Středočeský kraj
391,Kutná Hora-Podveky,205,Středočeský kraj
392,Kutná Hora-Čejkovice,205,Středočeský kraj
393,Kutná Hora-Dobrovítov,205,Středočeský kraj
394,Kutná Hora-Brambory,205,Středočeský kraj
395,Kutná Hora-Semtěš,205,Středočeský kraj
396,Kutná Hora-Starkoč,205,Středočeský kraj
397,Kutná Hora-Štipoklasy,205,Středočeský kraj
398,Kutná Hora-Opatovice I,205,Středočeský kraj
399,Kutná Hora-Bludov,205,Středočeský kraj
400,Kutná Hora-Třebětín,205,Středočeský kraj
401,Kutná Hora-Třebešice,205,Středočeský kraj
402,Kutná Hora-Močovice,205,Středočeský kraj
403,Kutná Hora-Vodranty,205,Středočeský kraj
404,Kutná Hora-Souňov,205,Středočeský kraj
405,Kutná Hora-Bernardov,205,Středočeský kraj
406,Kutná Hora-Hlízov,205,Středočeský kraj
407,Kutná Hora-Dolní Pohleď,205,Středočeský kraj
408,Kutná Hora-Paběnice,205,Středočeský kraj
409,Kutná Hora-Bratčice,205,Středočeský kraj
410,Kutná Hora-Drobovice,205,Středočeský kraj
411,Kutná Hora-Horky,205,Středočeský kraj
412,Kutná Hora-Adamov,205,Středočeský kraj
413,Kutná Hora-Schořov,205,Středočeský kraj
414,Kutná Hora-Sudějov,205,Středočeský kraj
415,Kutná Hora-Kobylnice,205,Středočeský kraj
416,Kutná Hora-Hraběšín,205,Středočeský kraj
417,Kutná Hora-Šebestěnice,205,Středočeský kraj
418,Kutná Hora-Horka I,205,Středočeský kraj
419,Kutná Hora-Horušice,205,Středočeský kraj
420,Kutná Hora-Kutná Hora,205,Středočeský kraj
421,Kutná Hora-Bílé Podolí,205,Středočeský kraj
422,Kutná Hora-Bohdaneč,205,Středočeský kraj
423,Kutná Hora-Církvice,205,Středočeský kraj
424,Kutná Hora-Čáslav,205,Středočeský kraj
425,Kutná Hora-Černíny,205,Středočeský kraj
426,Kutná Hora-Červené Janovice,205,Středočeský kraj
427,Kutná Hora-Čestín,205,Středočeský kraj
428,Kutná Hora-Horka II,205,Středočeský kraj
429,Kutná Hora-Hostovlice,205,Středočeský kraj
430,Kutná Hora-Chabeřice,205,Středočeský kraj
431,Kutná Hora-Chlístovice,205,Středočeský kraj
432,Kutná Hora-Chotusice,205,Středočeský kraj
433,Kutná Hora-Kácov,205,Středočeský kraj
434,Kutná Hora-Kluky,205,Středočeský kraj
435,Kutná Hora-Krchleby,205,Středočeský kraj
436,Kutná Hora-Křesetice,205,Středočeský kraj
437,Kutná Hora-Ledečko,205,Středočeský kraj
438,Kutná Hora-Malešov,205,Středočeský kraj
439,Kutná Hora-Svatý Mikuláš,205,Středočeský kraj
440,Kutná Hora-Miskovice,205,Středočeský kraj
441,Kutná Hora-Nepoměřice,205,Středočeský kraj
442,Kutná Hora-Nové Dvory,205,Středočeský kraj
443,Kutná Hora-Okřesaneč,205,Středočeský kraj
444,Kutná Hora-Onomyšl,205,Středočeský kraj
445,Kutná Hora-Soběšín,205,Středočeský kraj
446,Kutná Hora-Pertoltice,205,Středočeský kraj
447,Kutná Hora-Petrovice I,205,Středočeský kraj
448,Kutná Hora-Petrovice II,205,Středočeský kraj
449,Kutná Hora-Potěhy,205,Středočeský kraj
450,Kutná Hora-Rašovice,205,Středočeský kraj
451,Kutná Hora-Rataje nad Sázavou,205,Středočeský kraj
452,Kutná Hora-Řendějov,205,Středočeský kraj
453,Kutná Hora-Samopše,205,Středočeský kraj
454,Kutná Hora-Slavošov,205,Středočeský kraj
455,Kutná Hora-Staňkovice,205,Středočeský kraj
456,Kutná Hora-Suchdol,205,Středočeský kraj
457,Kutná Hora-Tupadly,205,Středočeský kraj
458,Kutná Hora-Uhlířské Janovice,205,Středočeský kraj
459,Kutná Hora-Úmonín,205,Středočeský kraj
460,Kutná Hora-Úžice,205,Středočeský kraj
461,Kutná Hora-Vavřinec,205,Středočeský kraj
462,Kutná Hora-Vidice,205,Středočeský kraj
463,Kutná Hora-Vinaře,205,Středočeský kraj
464,Kutná Hora-Vlačice,205,Středočeský kraj
465,Kutná Hora-Vlastějovice,205,Středočeský kraj
466,Kutná Hora-Vlkaneč,205,Středočeský kraj
467,Kutná Hora-Vrdy,205,Středočeský kraj
468,Kutná Hora-Záboří nad Labem,205,Středočeský kraj
469,Kutná Hora-Zbizuby,205,Středočeský kraj
470,Kutná Hora-Zbraslavice,205,Středočeský kraj
471,Kutná Hora-Zbýšov,205,Středočeský kraj
472,Kutná Hora-Zruč nad Sázavou,205,Středočeský kraj
473,Kutná Hora-Žáky,205,Středočeský kraj
474,Kutná Hora-Žehušice,205,Středočeský kraj
475,Kutná Hora-Žleby,205,Středočeský kraj
476,Kutná Hora-Košice,205,Středočeský kraj
477,Kutná Hora-Třebonín,205,Středočeský kraj
478,Mělník-Medonosy,206,Středočeský kraj
479,Mělník-Tupadly,206,Středočeský kraj
480,Mělník-Hostín,206,Středočeský kraj
481,Mělník-Liblice,206,Středočeský kraj
482,Mělník-Zlončice,206,Středočeský kraj
483,Mělník-Tuhaň,206,Středočeský kraj
484,Mělník-Dobřeň,206,Středočeský kraj
485,Mělník-Kanina,206,Středočeský kraj
486,Mělník-Lobeč,206,Středočeský kraj
487,Mělník-Nosálov,206,Středočeský kraj
488,Mělník-Stránka,206,Středočeský kraj
489,Mělník-Kadlín,206,Středočeský kraj
490,Mělník-Nedomice,206,Středočeský kraj
491,Mělník-Jeviněves,206,Středočeský kraj
492,Mělník-Lhotka,206,Středočeský kraj
493,Mělník-Hostín u Vojkovic,206,Středočeský kraj
494,Mělník-Vidim,206,Středočeský kraj
495,Mělník-Dolní Zimoř,206,Středočeský kraj
496,Mělník-Olovnice,206,Středočeský kraj
497,Mělník-Mělník,206,Středočeský kraj
498,Mělník-Býkev,206,Středočeský kraj
499,Mělník-Byšice,206,Středočeský kraj
500,Mělník-Cítov,206,Středočeský kraj
501,Mělník-Čečelice,206,Středočeský kraj
502,Mělník-Dolní Beřkovice,206,Středočeský kraj
503,Mělník-Dřínov,206,Středočeský kraj
504,Mělník-Horní Počaply,206,Středočeský kraj
505,Mělník-Hořín,206,Středočeský kraj
506,Mělník-Chlumín,206,Středočeský kraj
507,Mělník-Chorušice,206,Středočeský kraj
508,Mělník-Chvatěruby,206,Středočeský kraj
509,Mělník-Kly,206,Středočeský kraj
510,Mělník-Kokořín,206,Středočeský kraj
511,Mělník-Kostelec nad Labem,206,Středočeský kraj
512,Mělník-Kralupy nad Vltavou,206,Středočeský kraj
513,Mělník-Ledčice,206,Středočeský kraj
514,Mělník-Liběchov,206,Středočeský kraj
515,Mělník-Lužec nad Vltavou,206,Středočeský kraj
516,Mělník-Malý Újezd,206,Středočeský kraj
517,Mělník-Mělnické Vtelno,206,Středočeský kraj
518,Mělník-Mšeno,206,Středočeský kraj
519,Mělník-Nebužely,206,Středočeský kraj
520,Mělník-Nelahozeves,206,Středočeský kraj
521,Mělník-Neratovice,206,Středočeský kraj
522,Mělník-Nová Ves,206,Středočeský kraj
523,Mělník-Obříství,206,Středočeský kraj
524,Mělník-Ovčáry,206,Středočeský kraj
525,Mělník-Řepín,206,Středočeský kraj
526,Mělník-Spomyšl,206,Středočeský kraj
527,Mělník-Střemy,206,Středočeský kraj
528,Mělník-Tišice,206,Středočeský kraj
529,Mělník-Úžice,206,Středočeský kraj
530,Mělník-Velký Borek,206,Středočeský kraj
531,Mělník-Veltrusy,206,Středočeský kraj
532,Mělník-Vojkovice,206,Středočeský kraj
533,Mělník-Vraňany,206,Středočeský kraj
534,Mělník-Všestudy,206,Středočeský kraj
535,Mělník-Všetaty,206,Středočeský kraj
536,Mělník-Vysoká,206,Středočeský kraj
537,Mělník-Zálezlice,206,Středočeský kraj
538,Mělník-Zlosyň,206,Středočeský kraj
539,Mělník-Želízy,206,Středočeský kraj
540,Mělník-Kojetice,206,Středočeský kraj
541,Mělník-Postřižín,206,Středočeský kraj
542,Mělník-Dolany nad Vltavou,206,Středočeský kraj
543,Mělník-Libiš,206,Středočeský kraj
544,Mělník-Kozomín,206,Středočeský kraj
545,Mělník-Čakovičky,206,Středočeský kraj
546,Mělník-Újezdec,206,Středočeský kraj
547,Mladá Boleslav-Sedlec,207,Středočeský kraj
548,Mladá Boleslav-Rokytá,207,Středočeský kraj
549,Mladá Boleslav-Josefův Důl,207,Středočeský kraj
550,Mladá Boleslav-Mladá Boleslav,207,Středočeský kraj
551,Mladá Boleslav-Bakov nad Jizerou,207,Středočeský kraj
552,Mladá Boleslav-Bělá pod Bezdězem,207,Středočeský kraj
553,Mladá Boleslav-Benátky nad Jizerou,207,Středočeský kraj
554,Mladá Boleslav-Bezno,207,Středočeský kraj
555,Mladá Boleslav-Bítouchov,207,Středočeský kraj
556,Mladá Boleslav-Boreč,207,Středočeský kraj
557,Mladá Boleslav-Boseň,207,Středočeský kraj
